5.08	5.15	5.32	5.58	5.97	6.33	6.87	7.58	8.03
4.90	5.01	5.26	5.66	6.23	6.65	7.11	7.75	8.14
4.64	4.73	4.98	5.45	6.13	6.53	7.06	7.78	8.24
4.59	4.66	4.87	5.49	6.24	6.56	7.10	7.69	8.09
4.61	4.67	4.86	5.49	6.17	6.59	7.11	7.70	8.14
4.32	4.39	4.75	5.28	6.05	6.55	7.06	7.67	8.10
3.79	4.04	4.36	4.68	5.46	6.07	6.63	7.32	7.82
3.78	3.86	4.10	4.42	5.04	5.69	6.38	7.15	7.75
3.06	3.09	3.29	3.71	4.42	4.97	5.71	6.48	7.14
2.72	2.72	2.86	3.15	3.88	4.45	5.24	6.09	6.80
2.37	2.89	3.29	3.47	4.22	4.77	5.51	6.31	7.03
2.79	2.85	3.19	3.69	4.41	5.02	5.88	6.68	7.36
2.72	2.90	3.19	3.59	4.38	4.92	5.66	6.46	7.11
2.93	3.20	3.63	4.09	4.88	5.34	6.05	6.71	7.31
2.88	3.14	3.55	4.22	5.05	5.56	6.15	6.73	7.23
2.63	2.96	3.31	4.01	4.80	5.35	6.00	6.59	7.10
2.94	3.19	3.45	4.05	4.74	5.17	5.69	6.27	6.81
2.90	3.24	3.51	4.26	4.70	5.00	5.34	5.83	6.34
2.68	3.09	3.63	4.13	4.56	5.06	5.41	6.00	6.55
2.77	3.06	3.56	4.24	4.64	5.01	5.26	5.79	6.33
3.34	3.66	3.88	4.20	4.53	4.86	5.03	5.52	6.03
3.39	3.73	4.17	4.55	4.93	5.09	5.27	5.60	5.98
3.31	3.99	4.56	5.11	5.29	5.44	5.48	5.69	6.01
4.15	4.49	4.81	4.82	4.99	5.09	5.17	5.41	5.73
4.58	4.61	4.83	5.06	5.17	5.22	5.29	5.49	5.76
4.40	4.56	4.71	4.92	5.07	5.16	5.21	5.43	5.71
4.63	4.79	4.89	5.14	5.24	5.31	5.35	5.52	5.72
4.53	4.73	4.95	5.13	5.17	5.21	5.23	5.35	5.57
4.64	4.79	4.96	5.23	5.29	5.32	5.32	5.38	5.46
4.75	4.96	5.17	5.32	5.37	5.44	5.43	5.48	5.50
5.33	5.65	5.84	5.85	5.80	5.79	5.75	5.69	5.77
4.80	4.91	5.03	5.05	4.89	4.94	4.92	5.04	5.32
4.69	4.74	4.73	4.66	4.65	4.73	4.80	5.08	5.40
4.82	4.73	4.80	4.97	4.99	4.99	5.01	5.14	5.43
4.48	4.62	4.73	4.84	4.77	4.84	4.81	4.93	5.16
4.58	4.69	4.78	4.83	4.84	4.84	4.84	4.95	5.19
4.94	4.92	5.02	5.24	5.29	5.37	5.36	5.40	5.51
4.65	4.63	4.73	4.93	4.93	5.04	5.03	5.14	5.35
4.51	4.52	4.60	4.68	4.73	4.88	4.96	5.12	5.29
4.40	4.53	4.71	5.09	5.22	5.34	5.38	5.44	5.44
4.41	4.56	4.77	5.06	5.19	5.33	5.40	5.50	5.55
4.59	4.73	4.85	5.42	5.40	5.61	5.59	5.75	5.75
4.69	4.84	5.08	5.38	5.57	5.66	5.68	5.73	5.73
4.40	4.61	4.84	5.15	5.53	5.61	5.66	5.78	5.76
4.47	4.77	5.01	5.56	5.88	6.00	6.01	6.11	6.06
4.57	4.70	5.02	5.60	6.04	6.09	6.13	6.18	6.10
4.63	4.82	5.17	5.70	6.00	6.13	6.22	6.29	6.17
4.84	5.11	5.37	5.96	6.36	6.46	6.57	6.58	6.15
4.80	4.99	5.40	5.78	6.06	6.14	6.20	6.18	5.63
5.09	5.28	5.55	5.91	6.03	6.06	6.03	5.97	5.58
